cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,xf_1149_to_1082_3_2winding_transformer,1709,537,1.442,1.364,1.618,1.45,"LINESTRING(1.442 1.364, 1.618 1.45)",18.774530465234935,18.77648698886153,22.65252200552825,22.64884871268089,15.894296018449017,15.910207859250548,22.65213645211955,22.64677057775847
branch,Dec7_line_4125_to_4128_1_dec,809,480,-4.148,-4.778,-3.92,-5.196,"LINESTRING(-4.148 -4.778, -3.92 -5.196)",11.38571917952757,11.38589908406446,13.661895331460974,13.662100876756039,9.67902741534852,9.67904246769538,13.661934133134732,13.662070262738604
branch,xf_1099_to_1020_8_2winding_transformer,436,113,1.65,0.736,1.822,0.814,"LINESTRING(1.65 0.736, 1.822 0.814)",10.33474400760709,10.339001566995423,14.786572094585615,16.212128790064245,7.854169008999626,7.481733290276146,14.756496581729092,16.20615243301204
branch,xf_2281_to_2090_2_2winding_transformer,42,652,0.34,-7.452,0.308,-7.61,"LINESTRING(0.34 -7.452, 0.308 -7.61)",12.961300278566377,12.205881347507402,13.154799400002368,11.497225680499488,12.293965725433525,11.299120803675617,10.595221344571113,7.225965555818356
branch,xf_4313_to_4471_2_2winding_transformer,1705,1495,-3.1,-6.226,-3.13,-6.41,"LINESTRING(-3.1 -6.226, -3.13 -6.41)",7.770758325586802,8.89477817803722,7.655562946211648,31.131426857295093,5.252193321093557,5.750834785523424,9.372983918359111,33.42616230462024
branch,line_3564_to_3652_1_cp_merged_with_xf_3490_to_3564_3_2winding_transformer,930,1056,0.456,5.732,-0.844,6.072,"LINESTRING(0.456 5.732, -0.844 6.072)",2.2639109069497345,2.3554629751840865,2.213022388722223,2.242009727010653,2.372338473589234,2.370555826306601,2.221695086810856,2.241931253156178
branch,xf_1311_to_1056_2_2winding_transformer,983,508,1.936,-3.474,1.978,-3.612,"LINESTRING(1.936 -3.474, 1.978 -3.612)",4.721280211425311,4.720531789580199,5.67510606652808,5.670836323625344,4.0091847675917505,4.009163817244786,5.6737879339908055,5.671138519761366
branch,line_1607_to_1608_2_cp_merged_with_xf_1608_to_1015_1_2winding_transformer,1442,1006,5.152,4.47,5.604,4.64,"LINESTRING(5.152 4.47, 5.604 4.64)",7.105111556653421,6.158297563943283,42.030681169662856,83.18215507693102,15.871091622750285,14.079012978439085,27.113494662774496,83.8090196133255
branch,line_1302_to_1424_1_cp,1626,1051,1.13,2.782,1.462,2.694,"LINESTRING(1.13 2.782, 1.462 2.694)",14.392855973250615,14.444530398407874,17.3314643895826,17.385273253819093,12.201498096110605,12.247754070633333,17.327976969346523,17.415060016864697
branch,xf_4221_to_4103_2_2winding_transformer,251,1153,-1.842,-5.952,-1.934,-6.204,"LINESTRING(-1.842 -5.952, -1.934 -6.204)",7.750026134492368,7.279501463516103,8.114818949996847,4.78185188050429,7.215899896565387,7.143888399895239,8.640069630975857,2.975304497844857
branch,line_4213_to_4215_2_cp,1018,226,-2.756,-3.912,-2.458,-4.034,"LINESTRING(-2.756 -3.912, -2.458 -4.034)",10.61239149696168,9.70323853338823,11.801118132414638,11.212052719336343,9.603560929749962,8.792910732052778,11.817944460649288,10.850881141618713
branch,xf_4091_to_4412_4_2winding_transformer,642,1773,-4.338,-5.376,-4.15,-5.312,"LINESTRING(-4.338 -5.376, -4.15 -5.312)",30.154391616165015,30.376098010925784,46.331397209932625,55.35886904401328,25.464493083768907,26.11544135122365,43.128585984768094,58.74244144474697
branch,line_3069_to_3201_1_cp,1751,460,-1.45,12.106,-1.518,11.834,"LINESTRING(-1.45 12.106, -1.518 11.834)",32.33495827793376,32.33497409242059,38.85142627866731,38.8522440560641,27.575651755910325,27.575755720474493,38.85302255888026,38.844906280442416
branch,line_5163_to_5168_1_cp,616,1517,2.092,-11.94,1.942,-11.696,"LINESTRING(2.092 -13.94, 1.942 -13.696)",6.474733508915574,6.468270566395205,7.783039581770214,7.772710658925806,5.496807896742164,5.492754797079937,7.785315570332742,7.7701438139750945
